Id,Class
1,750
2,330
3,6
4,355
5,933
6,107
7,729
8,755
9,678
10,680
11,387
12,873
13,903
14,248
15,870
16,232
17,650
18,251
19,456
20,359
21,917
22,238
23,978
24,659
25,620
26,803
27,381
28,20
29,814
30,997
31,398
32,784
33,755
34,34
35,920
36,858
37,958
38,487
39,116
40,772
41,925
42,913
43,6
44,718
45,953
46,175
47,734
48,437
49,769
50,816
51,756
52,522
53,632
54,909
55,642
56,680
57,803
58,642
59,975
60,908
61,984
62,949
63,695
64,716
65,690
66,107
67,937
68,319
69,592
70,756
71,816
72,413
73,226
74,67
75,437
76,774
77,558
78,120
79,690
80,681
81,632
82,337
83,828
84,451
85,577
86,686
87,816
88,712
89,729
90,199
91,750
92,575
93,949
94,729
95,867
96,964
97,792
98,522
99,248
100,865
101,578
102,87
103,750
104,126
105,420
106,874
107,639
108,814
109,184
110,949
111,537
112,792
113,551
114,970
115,816
116,769
117,549
118,577
119,551
120,274
121,413
122,591
123,413
124,769
125,34
126,490
127,302
128,879
129,438
130,380
131,632
132,514
133,867
134,481
135,170
136,164
137,632
138,549
139,962
140,983
141,556
142,803
143,696
144,35
145,792
146,909
147,799
148,651
149,991
150,525
151,573
152,176
153,232
154,781
155,267
156,446
157,728
158,803
159,867
160,232
161,948
162,887
163,521
164,894
165,677
166,756
167,573
168,827
169,859
170,571
171,199
172,632
173,756
174,578
175,833
176,409
177,783
178,503
179,803
180,949
181,799
182,571
183,659
184,903
185,581
186,27
187,274
188,221
189,758
190,798
191,726
192,855
193,193
194,635
195,1000
196,269
197,554
198,849
199,541
200,769
201,337
202,756
203,712
204,454
205,759
206,767
207,890
208,814
209,937
210,979
211,892
212,769
213,355
214,866
215,659
216,934
217,547
218,584
219,327
220,438
221,480
222,765
223,223
224,642
225,350
226,612
227,2
228,992
229,756
230,567
231,905
232,53
233,712
234,585
235,903
236,639
237,441
238,409
239,797
240,512
241,987
242,943
243,678
244,870
245,602
246,519
247,827
248,503
249,488
250,685
251,832
252,849
253,10
254,551
255,680
256,984
257,863
258,701
259,511
260,170
261,409
262,511
263,762
264,65
265,745
266,397
267,924
268,611
269,834
270,888
271,867
272,875
273,344
274,312
275,232
276,493
277,486
278,178
279,330
280,632
281,568
282,780
283,715
284,756
285,230
286,232
287,867
288,816
289,488
290,232
291,654
292,330
293,327
294,984
295,903
296,646
297,602
298,503
299,120
300,612
301,722
302,938
303,562
304,554
305,774
306,405
307,641
308,381
309,657
310,755
311,690
312,636
313,823
314,35
315,926
316,342
317,656
318,628
319,925
320,678
321,397
322,833
323,832
324,514
325,512
326,720
327,756
328,175
329,863
330,898
331,983
332,783
333,391
334,329
335,659
336,633
337,232
338,222
339,595
340,359
341,967
